system_id,benchmark,scenario,perf_metric,perf_value
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,3d-unet-99,Offline,result_samples_per_second,233.275
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,3d-unet-99.9,Offline,result_samples_per_second,233.275
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,bert-99,Offline,result_samples_per_second,14060.7
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,bert-99,Server,result_scheduled_samples_per_sec,12701.8
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,bert-99.9,Offline,result_samples_per_second,6769.57
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,bert-99.9,Server,result_scheduled_samples_per_sec,5802.07
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,dlrm-99,Offline,result_samples_per_second,1231930.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,dlrm-99,Server,result_scheduled_samples_per_sec,1100580.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,dlrm-99.9,Offline,result_samples_per_second,1231930.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,dlrm-99.9,Server,result_scheduled_samples_per_sec,1100580.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,resnet50,Offline,result_samples_per_second,149714.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,resnet50,Server,result_scheduled_samples_per_sec,122987.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,rnnt,Offline,result_samples_per_second,52397.7
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,rnnt,Server,result_scheduled_samples_per_sec,44988.4
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,ssd-resnet34,Offline,result_samples_per_second,3865.34
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT,ssd-resnet34,Server,result_scheduled_samples_per_sec,3701.94
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,3d-unet-99,Offline,result_samples_per_second,215.377
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,3d-unet-99.9,Offline,result_samples_per_second,215.377
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,bert-99,Offline,result_samples_per_second,14084.6
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,bert-99,Server,result_scheduled_samples_per_sec,11231.1
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,bert-99.9,Offline,result_samples_per_second,6829.88
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,bert-99.9,Server,result_scheduled_samples_per_sec,5701.91
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,dlrm-99,Offline,result_samples_per_second,1152530.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,dlrm-99,Server,result_scheduled_samples_per_sec,39990.6
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,dlrm-99.9,Offline,result_samples_per_second,1152530.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,dlrm-99.9,Server,result_scheduled_samples_per_sec,39990.6
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,resnet50,Offline,result_samples_per_second,143704.0
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,resnet50,Server,result_scheduled_samples_per_sec,79994.6
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,ssd-resnet34,Offline,result_samples_per_second,3747.62
HPE-ProLiant-XL645d-Gen10-Plus_A100-SXM4-40GBx4_TRT_Triton,ssd-resnet34,Server,result_scheduled_samples_per_sec,3551.92
